"ID","run","density","fraction_blue","circle_blue","circle_orange","eth_con_loc","val_lib_loc","eth_con_min","val_lib_min","val_con_loc","eth_lib_loc","val_con_min","eth_lib_min","step","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","de_sq_bl","de_cl_bl","de_sq_or","de_cl_or","dv_sq_bl","dv_cl_bl","dv_sq_or","dv_cl_or","et_sq_bl_v","et_cl_bl_v","et_sq_or_v","et_cl_or_v","vl_sq_bl_v","vl_cl_bl_v","vl_sq_or_v","vl_cl_or_v","de_sq_bl_v","de_cl_bl_v","de_sq_or_v","de_cl_or_v","dv_sq_bl_v","dv_cl_bl_v","dv_sq_or_v","dv_cl_or_v"
"dislib",63,70,80,50,60,20,20,20,20,0,0,0,0,2000,0.998579671549046,0.763480978983772,"0.9706293706293705","0.2654761904761906",0.921721831209181,0.93118681830274,"0.9712121212121212","0.9971376811594205",1.25247893364023,0.957603954553607,"4.788091265303065","1.3095876420273207",1.89705611792496,1.81118789183619,"1.9989153277743854","1.9394644115574298",0.000475017014351247,0.0282559123947789,"0.008966971995141036","0.022357571121607304",0.037599764602098,0.0156237794610949,"0.009147816190069732","4.7727596354660984E-4",0.000747282107657949,0.044451329384502,"0.21820454676414947","0.5440547462377628",0.159274310762854,0.0591070756847376,"0.03875056490586013","0.0018056057799652717"
"dislib",28,70,80,50,20,20,20,20,20,0,0,0,0,2000,0.998650472334683,0.898446097411861,"0.973746031746032","0.07337962962962966",0.905439881755672,0.911493784389647,"0.9722460317460321","0.9902777777777777",1.25627736256248,1.13022276054446,"4.7483207031917","0.35782432297889294",1.57777900624861,2.13900352507479,"1.6941924126679115","2.3238860140865323",0.000523701839491311,0.0126136715874449,"0.0082302646513827","0.009048150232967471",0.0421187597113351,0.0221536290421339,"0.010953701238949697","0.002423708920187795",0.000828758783081156,0.019961150270448,"0.19570525451483808","0.21515353627588304",0.12789356114122,0.122000175910339,"0.03326090010075192","0.013347380424940556"
"dislib",49,70,80,50,40,20,20,20,20,0,0,0,0,2000,0.997802711547452,0.825418410041841,"0.971625258799172","0.1635031635031635",0.882328190743338,0.899880454273759,"0.9687267080745344","0.9886779886779888",1.25806873351053,1.04071985545835,"4.696622899771878","0.7903383479790986",1.6869965301275,1.88660983611112,"1.8521890293302148","2.072774899519086",0.000517168887768273,0.0199076332495706,"0.009810559329104717","0.0223263211190777",0.0534337652700849,0.0239623094451776,"0.013518522357363867","0.0021878865880374868",0.000822151339858713,0.0316474709454762,"0.2292279435781721","0.521664107632397",0.195336699893819,0.105323000547821,"0.04941937988799505","0.009616551394499134"
"dislib",16,70,80,50,10,20,20,20,20,0,0,0,0,2000,0.998290884718499,0.945300665217678,"0.9868421052631581","0.020757020757020756",0.897212115409166,0.906354146084436,"0.9895252837977296","0.988003663003663",1.24429585426794,1.17824745950551,"4.991458272753698","0.10498924034835636",1.53675901151937,2.17786672110317,"1.6948744570941456","2.3740612952227114",0.000395751364973118,0.00709428647347971,"0.006195379753732177","0.00247059575067094",0.0503776648463696,0.0226615639471064,"0.005444632467784984","0.0018531734556170635",0.000614830662790318,0.0110215282638638,"0.15849934787210568","0.06320642654730557",0.147794853372674,0.130844847252491,"0.0159731234009821","0.010699976325488586"
"dislib",17,70,80,50,10,20,20,20,20,0,0,0,0,2000,0.99906914893617,0.932831366164699,"0.9834044065387351","0.08619554204660586",0.865048758865249,0.869624202957536,"0.9841506751954515","0.9884751773049646",1.26136771587337,1.1777396698588,"4.729093965475516","0.41450578727647897",1.46056486216495,2.13284333889587,"1.6616588146452704","2.424337651147158",0.000177228234694167,0.0105114518756877,"0.004853892580358588","0.010113419327027766",0.0546063809450417,0.0307767194573744,"0.00469105195031809","0.002166525336622467",0.000282504413846626,0.0167554089558168,"0.11224881055212413","0.23387812385206502",0.1556696383165,0.185130086047177,"0.013373059114921017","0.013032221401888347"
"dislib",19,70,80,50,10,20,20,20,20,0,0,0,0,2000,0.997755278964642,0.952730992965368,"0.9774107142857144","0.016666666666666666",0.883545420769088,0.886018668831169,"0.9817187500000001","0.9952380952380953",1.23467138998067,1.17895612698021,"5.093706122448965","0.08685714285714284",1.47852004356221,2.20176846314447,"1.6428027522935698","2.4731802257687834",0.00154966726341597,0.00682215137050963,"0.009669601539675398","0.001867816091954024",0.0523262091382366,0.0284002033261899,"0.008298499542842204","6.802721088435377E-4",0.00237297498263463,0.0104466261320382,"0.2626165898127621","0.050727994370161865",0.146526421996377,0.175379568601285,"0.023237866185545984","0.004200879395481144"
"dislib",52,70,80,50,50,20,20,20,20,0,0,0,0,2000,0.996006463527239,0.801147619047619,"0.9834677419354839","0.2145175438596492",0.899366838148002,0.919501587301587,"0.9908602150537635","0.995075187969925",1.25007595490191,1.00551091942883,"4.83887053877831","1.055471957820083",1.82838313249867,1.80965737926376,"2.01438615148292","1.9583926571748553",0.00213728890869654,0.0235206239233566,"0.007417774629468176","0.023486393018638807",0.047712270072652,0.0183320030234316,"0.006213310084277881","7.802016378815541E-4",0.00336675661258925,0.0370507776482495,"0.17957315010578104","0.5685701965417856",0.197192663112732,0.0710064286415736,"0.025679330713006696","0.0030220010249542846"
"dislib",23,70,80,50,20,20,20,20,20,0,0,0,0,2000,0.997977777777778,0.896310993533215,"0.9713041314086611","0.09823688969258591",0.894147619047619,0.899890587236266,"0.9731624357059897","0.9881705846895722",1.244774984985,1.11796627977184,"4.898982039837125","0.4954789573019494",1.59017004312321,2.05593814856206,"1.7306915764096993","2.2576273506645435",0.000462082282549576,0.0122028382221834,"0.011312778809045666","0.01217014291381379",0.0463938685215964,0.0253700709127795,"0.011762103004014413","0.0031692373747075333",0.000718884764226027,0.0189845722494276,"0.2877865668730459","0.3095971119598218",0.146733498968799,0.132422673896268,"0.03720091865603056","0.016542282787209706"
"dislib",7,70,80,50,0,20,20,20,20,0,0,0,0,2000,1,0.994706518971225,"0.9840773809523811","0",0.899006840305183,0.90885217723453,"0.9840773809523811","0",1.22826086956522,1.22175909395379,"5.295273526077073","0",1.53340034648281,2.19679777598935,"1.6785017969451888","0",0,0.00152276312537104,"0.005638748223169883","0",0.0538339913972109,0.0218309897181056,"0.005638748223169883","0",2.84382719691293e-29,0.00229727816019175,"0.16326797292892614","0",0.156618010372597,0.127546070043977,"0.01640468233515833","0"
"dislib",44,70,80,50,40,20,20,20,20,0,0,0,0,2000,0.998870056497175,0.84908336612882,"0.985369532428356","0.145434945631796",0.903908238654001,0.909161419388692,"0.984238310708899","0.991394825646794",1.23153858371338,1.04686182088974,"5.215662869922484","0.7698022122234716",1.68351766997034,1.9632770627362,"1.833131413878463","2.1408549458867463",0.000250389678079194,0.0189798744729835,"0.004625885552356153","0.018642734850887424",0.0409786526998076,0.0214422115214154,"0.007716349010466621","0.0028849518810148667",0.000380622518496249,0.02885169899202,"0.12960317699881585","0.5223124604522252",0.142149175182773,0.099988663928769,"0.026766928022145343","0.013453019237001833"
