"BehaviorSpace results (NetLogo 6.1.1)"
"rum_eth.nlogo"
"experiment"
"11/09/2019 17:53:07:742 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors) ] of turtles with [count (turtles-on neighbors) >= 1]"
"4","1","70","1","3","1","50","50","50","3","150","0.780636099324218"
"39","1","70","1","38","1","50","50","50","3","150","0.9992011019283746"
"38","1","70","1","37","1","50","50","50","3","150","0.9996197718631179"
"14","1","70","1","13","1","50","50","50","3","150","0.9941625525690253"
"46","1","70","1","45","1","50","50","50","3","150","0.9997526113249038"
"40","1","70","1","39","1","50","50","50","3","150","0.9992415834258233"
"64","1","70","1","63","1","50","50","50","3","150","0.998856299575724"
"60","1","70","1","59","1","50","50","50","3","150","1"
"35","1","70","1","34","1","50","50","50","3","150","1"
"1","1","70","1","0","1","50","50","50","3","150","0.4949648388116307"
"36","1","70","1","35","1","50","50","50","3","150","1"
"52","1","70","1","51","1","50","50","50","3","150","1"
"43","1","70","1","42","1","50","50","50","3","150","1"
"62","1","70","1","61","1","50","50","50","3","150","1"
"15","1","70","1","14","1","50","50","50","3","150","0.9964655105373666"
"59","1","70","1","58","1","50","50","50","3","150","1"
"30","1","70","1","29","1","50","50","50","3","150","0.9978118530020702"
"5","1","70","1","4","1","50","50","50","3","150","0.923514757340635"
"53","1","70","1","52","1","50","50","50","3","150","1"
"27","1","70","1","26","1","50","50","50","3","150","0.9987548422800221"
"54","1","70","1","53","1","50","50","50","3","150","1"
"9","1","70","1","8","1","50","50","50","4","200","0.9884108183600567"
"7","1","70","1","6","1","50","50","50","4","200","0.9790064995357469"
"13","1","70","1","12","1","50","50","50","4","200","0.9974479454578956"
"20","1","70","1","19","1","50","50","50","4","200","0.9994549150036954"
"12","1","70","1","11","1","50","50","50","4","200","0.9955543257701531"
"32","1","70","1","31","1","50","50","50","4","200","0.9988667139964765"
"2","1","70","1","1","1","50","50","50","4","200","0.5443306788016677"
"21","1","70","1","20","1","50","50","50","4","200","0.9990437158469946"
"42","1","70","1","41","1","50","50","50","4","200","1"
"48","1","70","1","47","1","50","50","50","4","200","1"
"23","1","70","1","22","1","50","50","50","4","200","0.9995044052863435"
"34","1","70","1","33","1","50","50","50","4","200","1"
"17","1","70","1","16","1","50","50","50","4","200","0.9989998181487543"
"47","1","70","1","46","1","50","50","50","4","200","1"
"28","1","70","1","27","1","50","50","50","4","200","0.9991387209089243"
"18","1","70","1","17","1","50","50","50","4","200","1"
"50","1","70","1","49","1","50","50","50","4","200","1"
"16","1","70","1","15","1","50","50","50","4","200","0.9979965798474086"
"6","1","70","1","5","1","50","50","50","4","200","0.9664236056661952"
"8","1","70","1","7","1","50","50","50","4","200","0.9880252877204092"
"26","1","70","1","25","1","50","50","50","4","200","0.9993124312431243"
"61","1","70","1","60","1","50","50","50","4","200","0.9993785939528844"
"49","1","70","1","48","1","50","50","50","4","200","1"
"19","1","70","1","18","1","50","50","50","4","200","0.9973478249392884"
"29","1","70","1","28","1","50","50","50","4","200","0.9984008332014976"
