"run","circle_orange","density","circle_blue","fraction_blue","dominant","step","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","de_sq_bl","de_cl_bl","de_sq_or","de_cl_or","dv_sq_bl","dv_cl_bl","dv_sq_or","dv_cl_or","et_sq_bl_v","et_cl_bl_v","et_sq_or_v","et_cl_or_v","vl_sq_bl_v","vl_cl_bl_v","vl_sq_or_v","vl_cl_or_v","de_sq_bl_v","de_cl_bl_v","de_sq_or_v","de_cl_or_v","dv_sq_bl_v","dv_cl_bl_v","dv_sq_or_v","dv_cl_or_v"
236,50,70,50,80,11,2000,0.998714354928018,0.997289568568942,0.992603550295858,0.986772486772487,0.994971622369878,0.995629740146711,1,1,1.22606954851894,1.22432041258294,5.35286204615741,5.32141658274587,2.07237379921844,1.91508522215717,2.0828471411902,1.92349137931035,0.000240427594419671,0.000861732334361067,0.00626937165398711,0.00780094646554275,0.00344648412423996,0.001067784700187,0,0,0.000362353064841201,0.00129873342193599,0.182324264092376,0.226865131316562,0.0149517173809976,0.003950610213791,1.78550213815649e-30,7.14384596156668e-30
220,50,70,50,80,10,2000,0.9966985428051,0.997595931576514,0.986998254799302,0.984674329501916,0.996675774134791,0.996671289875173,1,0.99808429118774,1.24690140946524,1.24802407120885,4.9187666451505,4.90718522017531,1.96207059864845,2.02563695674073,1.96861471861473,2.02850874376592,0.00107549677853944,0.000626156872313836,0.00386953859342948,0.00899626455237379,0.000818087772237722,0.0010213117069913,0,0.000638569604086846,0.00168323866640095,0.000979985695673265,0.0961034219248215,0.223430206767324,0.00317045327504754,0.00421869023430773,5.72951751411771e-29,0.00263771318222029
228,50,70,50,80,11,2000,0.999038461538461,1,0.997037037037037,1,0.997825091575091,0.997027153558052,1,1,1.2543482905983,1.25555555555556,4.89848631239936,4.91304347826087,1.9868587726517,2.00291677070327,1.99118942731277,2.00888888888888,0.000397973759390544,0,0.000835367956410787,0,0.000749886528342516,0.00185433150105977,0,0,0.000627373695513312,6.7591843567534e-29,0.0201641085735526,1.98269853183891e-29,0.00297317660514443,0.00748340430602435,6.42547039001249e-29,6.42394324315806e-29
213,50,70,50,80,10,2000,0.998871527777778,0.999150897622513,0.991894353369763,0.998863636363636,0.99262927827381,0.993255701115963,0.992349726775956,0.992451298701299,1.24499018149929,1.2453383871534,5.01749344211556,5.0527475310205,1.89549397407488,2.08526283610012,1.89496015123569,2.0835740560018,0.000250064887247092,0.000252355395613573,0.00270103151250692,0.000227272727272728,0.0036860727206769,0.00277919707426881,0.00587521767849636,0.00122587905291987,0.000388476989553732,0.000392035305175544,0.0691150206757399,0.00581554090418856,0.013441091991628,0.0122495128424737,0.021423706820686,0.00540315091041613
227,50,70,50,80,11,2000,0.997218326320711,0.999437696806118,0.989859437751004,0.992592592592593,0.99728845254792,0.996131354026091,1,0.997222222222222,1.23435752969321,1.23710466800539,5.15241863407385,5.16664525797472,2.04104148072589,1.94791809837238,2.04659090909091,1.95005127277115,0.00103118712934218,0.000121680384838278,0.00251775790028803,0.00335885233464376,0.000590327570901034,0.00253531365373471,0,0.00138888888888889,0.00157993391855147,0.000186432667513054,0.0682164626543834,0.091005185534957,0.00247260730798311,0.00969482246503936,1.78569423090938e-30,0.00531099226386002
218,50,70,50,80,10,2000,0.999197048611111,0.998467432950191,0.991935483870968,0.998913043478261,0.997526041666667,0.995987274220033,0.994623655913978,0.999094202898551,1.25172635734478,1.25081234428323,4.91678291194418,4.9513689776733,1.91767584949335,2.07572802377223,1.91209621063547,2.08220314558629,0.000169208115282004,0.000752244181666149,0.00196163905841325,0.000217391304347827,0.00156492761299442,0.00141731586581546,0.00132229003196745,0.000150966183574879,0.000265544736427209,0.00118052542938928,0.0481963683327995,0.00534118207514211,0.0057835722723835,0.00615601922050464,0.00488684582049355,0.000655711793079011
217,50,70,50,80,10,2000,0.99874651810585,0.995736961451247,0.994623655913978,0.985115864527629,0.997237697307335,0.997619047619048,0.998924731182796,0.998217468805704,1.25513499109516,1.25135285038539,4.8691227766727,4.82257793197706,2.01433189743713,1.97576180146682,2.01773955657056,1.97694696099698,0.000395916131513616,0.00157656408006738,0.00139736510704253,0.00660074815198155,0.000694745528736394,0.000631244323342419,0.000215053763440858,0.000594177064765306,0.000625278527762393,0.00248990022997752,0.0334883521023606,0.158189278620535,0.00283459127399982,0.00247592331752723,0.000877428491550023,0.00233053477867763
231,50,70,50,80,11,2000,0.9953125,0.999022346368715,0.983767361111111,0.992307692307692,0.996240942028985,0.996578212290503,1,0.995192307692308,1.23385847107439,1.2384574541761,5.08845186781611,5.13262599469497,1.9323638961769,2.05715686023267,1.93965517241378,2.05429604798871,0.00125879865835225,0.000404637262179158,0.00688899038927673,0.00665012406947894,0.00110829923756941,0.0011223076271959,0,0.0036057692307692,0.00193449694781263,0.000621838562873514,0.184307115051993,0.177916517911147,0.00416971231435425,0.00478215837276255,8.33136239796767e-29,0.0153642005982403
215,50,70,50,80,10,2000,0.99736727589208,0.998103309120258,0.981862745098039,0.993990384615385,0.997746487628994,0.997316384180791,0.991764705882353,0.99599358974359,1.25313717432302,1.25406195962735,4.81060794688245,4.87002696377695,1.97417360586423,2.01640823526511,1.96233785822022,2.01373376441608,0.000703662462954425,0.000612250605897672,0.00932556947828436,0.00335206217226145,0.000437351277422296,0.00169717274390875,0.0063223111729899,0.00112450452124365,0.0011108396725224,0.000966531964347584,0.223858570979575,0.0804656326312828,0.00171222434052413,0.0069377247561826,0.0247517627993766,0.00459676416762611
229,50,70,50,80,11,2000,0.9980631276901,0.99973474801061,0.997849462365591,0.992603550295858,0.995743663318986,0.997015915119363,0.998924731182796,0.992899408284024,1.24224811068804,1.24432870772377,5.07638346206272,5.04969580798402,2.03659462735457,1.95082420661493,2.04310086581668,1.9427695897735,0.000458008780561103,5.30503978779846e-05,0.000860215053763446,0.00626937165398707,0.00101793675137563,0.000962383396955467,0.000215053763440857,0.00613975767821924,0.000709536058448801,8.21843855556033e-05,0.02226310959807,0.162256760833356,0.00425828651425097,0.0036845140068154,0.000899624205002502,0.0235062483781584
